"video_n","score","video"
123,"2.121","p1204_123_2.0_slowmo1.mp4"
124,"4.031","p1204_124_4.0_slowmo1.mp4"
125,"4.079","p1204_125_4.0_slowmo1.mp4"
126,"2.054","p1204_126_2.0_slowmo1.mp4"
127,"2.522","p1204_127_2.0_slowmo1.mp4"
129,"4.23","p1204_129_5.0_slowmo1.mp4"
130,"4.262","p1204_130_5.0_slowmo1.mp4"
131,"2.324","p1204_131_2.0_slowmo1.mp4"
132,"2.711","p1204_132_2.0_slowmo1.mp4"
133,"4.394","p1204_133_5.0_slowmo1.mp4"
134,"4.417","p1204_134_5.0_slowmo1.mp4"
136,"4.269","p1204_136_5.0_slowmo2_136nn.mp4"
137,"4.469","p1204_137_5.0_slowmo1.mp4"
138,"4.354","p1204_138_5.0_slowmo1.mp4"
139,"4.261","p1204_139_5.0_slowmo2_139nn.mp4"
140,"2.297","p1204_140_2.0_slowmo1.mp4"
141,"2.113","p1204_141_2.0_slowmo1.mp4"
143,"2.581","p1204_143_2.0_slowmo1.mp4"
144,"2.128","p1204_144_2.0_slowmo1.mp4"
145,"2.755","p1204_145_2.0_slowmo2_145n.mp4"
146,"2.629","p1204_146_2.0_slowmo1.mp4"
147,"4.028","p1204_147_4.0_slowmo1.mp4"
148,"4.001","p1204_148_4.0_slowmo1.mp4"
150,"4.236","p1204_150_5.0_slowmo2.mp4"
151,"4.282","p1204_151_5.0_slowmo2.mp4"
152,"2.489","p1204_152_2.0_slowmo2.mp4"
153,"2.38","p1204_153_2.0_slowmo2.mp4"
154,"2.37","p1204_154_2.0_slowmo2.mp4"
155,"2.927","p1204_155_2.0_slowmo2.mp4"
157,"4.027","p1204_157_4.0_slowmo2.mp4"
158,"4.031","p1204_158_4.0_slowmo2.mp4"
159,"4.003","p1204_159_4.0_slowmo2.mp4"
160,"4.035","p1204_160_4.0_slowmo2.mp4"
161,"3.032","p1204_161_2.0_slowmo2.mp4"
162,"2.175","p1204_162_2.0_slowmo2.mp4"
164,"2.658","p1204_164_2.0_slowmo2.mp4"
165,"2.802","p1204_165_2.0_slowmo2.mp4"
166,"4.185","p1204_166_5.0_slowmo2.mp4"
167,"4.287","p1204_167_5.0_slowmo2.mp4"
168,"2.219","p1204_168_2.0_slowmo2.mp4"
169,"2.121","p1204_169_2.0_slowmo2.mp4"
171,"2.058","p1204_171_2.0_slowmo2.mp4"
172,"2.791","p1204_172_2.0_slowmo2.mp4"
173,"4.31","p1204_173_5.0_slowmo2.mp4"
174,"4.236","p1204_174_5.0_slowmo2.mp4"
175,"4.268","p1204_175_5.0_slowmo2_175nn.mp4"
176,"4.278","p1204_176_5.0_slowmo2_176.mp4"
